Neurospora crassa Imperfect Union Aspergillus flavus: 604
NEUCR00038: [(ASPFN08991,1025192)]
NEUCR01398: [(xASPFN03124,968651)]
NEUCR01416: [(ASPFN04117,1031764)]
NEUCR01428: [(ASPFN12592,973663)]
NEUCR01429: [(ASPFN12587,743591)]
NEUCR01434: [(ASPFN12590,779285)]
NEUCR01437: [(ASPFN06867,947721), (ASPFN07015,None)]
NEUCR01454: [(ASPFN11773,1041416)]
NEUCR01454: [(ASPFN11773,1041416)]
NEUCR01461: [(ASPFN12042,770084)]
NEUCR01472: [(ASPFN10536,1032432)]
NEUCR01485: [(ASPFN10257,963962)]
NEUCR01556: [(ASPFN12452,761549)]
NEUCR01559: [(ASPFN13315,1010317)]
NEUCR01560: [(xASPFN01634,766063)]
NEUCR01564: [(ASPFN05281,802748)]
NEUCR01568: [(ASPFN11396,999893)]
NEUCR01575: [(ASPFN02422,575757)]
NEUCR01579: [(ASPFN13236,632885)]
NEUCR01579: [(ASPFN13236,632885)]
NEUCR01582: [(ASPFN01182,None)]
NEUCR01601: [(xASPFN03889,808460)]
NEUCR01601: [(xASPFN03889,808460)]
NEUCR01606: [(ASPFN10981,807451)]
NEUCR01612: [(ASPFN10973,1003176)]
NEUCR01613: [(ASPFN10972,988593)]
NEUCR01619: [(ASPFN00572,1012492)]
NEUCR01620: [(ASPFN13282,950820)]
NEUCR01630: [(ASPFN00579,809408)]
NEUCR01643: [(xASPFN12607,984832)]
NEUCR01644: [(ASPFN13183,None)]
NEUCR01646: [(ASPFN03885,None)]
NEUCR01646: [(ASPFN03885,None)]
NEUCR01652: [(ASPFN13264,766468)]
NEUCR01670: [(ASPFN11026,996211)]
NEUCR01683: [(ASPFN08652,807387)]
NEUCR01702: [(ASPFN05684,1042639)]
NEUCR01714: [(xASPFN11821,687828)]
NEUCR01714: [(xASPFN11821,687828)]
NEUCR01770: [(ASPFN09423,728911)]
NEUCR01786: [(ASPFN08569,None)]
NEUCR01802: [(ASPFN03324,633874)]
NEUCR01814: [(ASPFN03449,768773)]
NEUCR01845: [(ASPFN10543,211245)]
NEUCR01857: [(ASPFN09075,947833)]
NEUCR01883: [(ASPFN11737,1034011)]
NEUCR01902: [(ASPFN05542,974496)]
NEUCR01907: [(ASPFN08670,807241)]
NEUCR01908: [(ASPFN13335,974340)]
NEUCR01908: [(ASPFN13335,974340)]
NEUCR01953: [(ASPFN06178,932934)]
NEUCR01955: [(xASPFN10674,958680)]
NEUCR01960: [(ASPFN06071,1027235)]
NEUCR01968: [(ASPFN10594,575963)]
NEUCR01982: [(ASPFN08477,950269)]
NEUCR01983: [(ASPFN03936,1034149)]
NEUCR01992: [(ASPFN02888,971508)]
NEUCR01993: [(ASPFN02889,1014104)]
NEUCR02003: [(ASPFN04581,None)]
NEUCR02005: [(xASPFN04583,985986)]
NEUCR02009: [(ASPFN04586,1023410)]
NEUCR02013: [(ASPFN08624,1040701)]
NEUCR02017: [(ASPFN09998,772237)]
NEUCR02024: [(ASPFN05833,988940)]
NEUCR02035: [(xASPFN02804,575030)]
NEUCR02041: [(ASPFN08008,933910)]
NEUCR02045: [(ASPFN11736,1040630)]
NEUCR02058: [(ASPFN05560,1012474)]
NEUCR02068: [(ASPFN08755,None)]
NEUCR02090: [(xASPFN11810,1034008)]
NEUCR02139: [(ASPFN10995,None)]
NEUCR02139: [(ASPFN10995,None)]
NEUCR02201: [(ASPFN01011,1018219)]
NEUCR02208: [(ASPFN05763,771031)]
NEUCR02211: [(ASPFN09587,664922)]
NEUCR02214: [(ASPFN12878,808296)]
NEUCR02237: [(ASPFN09318,None)]
NEUCR02238: [(ASPFN09320,None)]
NEUCR02243: [(ASPFN02151,None)]
NEUCR02268: [(ASPFN10541,None)]
NEUCR02278: [(ASPFN02117,814608)]
NEUCR02279: [(ASPFN06775,None)]
NEUCR02284: [(ASPFN08355,811925)]
NEUCR02301: [(ASPFN03039,749778)]
NEUCR02347: [(ASPFN04683,1043066)]
NEUCR02359: [(ASPFN06031,957868)]
NEUCR02376: [(ASPFN03350,807622)]
NEUCR02385: [(ASPFN00867,654334)]
NEUCR02393: [(ASPFN05434,782516)]
NEUCR02408: [(ASPFN05110,714209)]
NEUCR02422: [(ASPFN01959,964148)]
NEUCR02439: [(ASPFN13178,1018692)]
NEUCR02444: [(ASPFN03831,None)]
NEUCR02450: [(ASPFN13141,974586)]
NEUCR02465: [(ASPFN03835,583829)]
NEUCR02476: [(ASPFN02508,1024303)]
NEUCR02479: [(ASPFN13133,None)]
NEUCR02491: [(ASPFN13104,1034443)]
NEUCR02499: [(ASPFN00203,None), (ASPFN05562,None)]
NEUCR02502: [(xASPFN01958,1031039)]
NEUCR02504: [(ASPFN13118,990159)]
NEUCR02508: [(ASPFN11213,993455)]
NEUCR02531: [(ASPFN11147,1027391)]
NEUCR02542: [(ASPFN09614,792519)]
NEUCR02570: [(ASPFN08516,814498)]
NEUCR02572: [(ASPFN11450,948688)]
NEUCR02579: [(ASPFN11452,1020229)]
NEUCR02593: [(ASPFN11443,807362)]
NEUCR02599: [(ASPFN11184,1041722)]
NEUCR02609: [(ASPFN07908,598765)]
NEUCR02627: [(ASPFN02031,807234)]
NEUCR02666: [(ASPFN04687,807230)]
NEUCR02678: [(ASPFN08767,654480)]
NEUCR02685: [(ASPFN02890,1003369)]
NEUCR02686: [(ASPFN02900,None)]
NEUCR02687: [(ASPFN05223,None)]
NEUCR02702: [(ASPFN10484,815140)]
NEUCR02713: [(ASPFN07901,807409)]
NEUCR02717: [(ASPFN13241,1013239)]
NEUCR02719: [(ASPFN13462,949404)]
NEUCR02736: [(ASPFN13243,807158)]
NEUCR02742: [(ASPFN10205,768651)]
NEUCR02764: [(ASPFN11561,1006282)]
NEUCR02773: [(ASPFN01432,None), (ASPFN05695,655288)]
NEUCR02774: [(xASPFN11230,931410)]
NEUCR02774: [(xASPFN11230,931410)]
NEUCR02775: [(ASPFN02293,810541)]
NEUCR02781: [(ASPFN11125,707296)]
NEUCR02788: [(ASPFN11903,None)]
NEUCR02799: [(ASPFN07883,1037655)]
NEUCR02805: [(xASPFN03926,1038666)]
NEUCR02806: [(ASPFN11648,1022502)]
NEUCR02819: [(ASPFN10668,811191)]
NEUCR02830: [(ASPFN01439,1038874)]
NEUCR02832: [(ASPFN08341,1042224)]
NEUCR02843: [(ASPFN13486,None)]
NEUCR02846: [(ASPFN11760,807688)]
NEUCR02862: [(ASPFN11654,986863)]
NEUCR02884: [(ASPFN00178,949343)]
NEUCR02886: [(ASPFN03949,807632)]
NEUCR02889: [(xASPFN10730,954640)]
NEUCR02895: [(ASPFN02271,760389)]
NEUCR02935: [(ASPFN05488,955952)]
NEUCR02945: [(ASPFN06004,811843)]
NEUCR02963: [(ASPFN09538,807195)]
NEUCR03015: [(ASPFN10117,999084)]
NEUCR03017: [(ASPFN03826,767744), (ASPFN13150,None)]
NEUCR03029: [(ASPFN09296,782449)]
NEUCR03031: [(ASPFN00324,1018176)]
NEUCR03050: [(ASPFN04043,813227)]
NEUCR03051: [(ASPFN04042,734524)]
NEUCR03069: [(ASPFN09589,1029802)]
NEUCR03081: [(ASPFN04040,807196)]
NEUCR03087: [(ASPFN12292,None)]
NEUCR03087: [(ASPFN12292,None)]
NEUCR03097: [(ASPFN04814,807227)]
NEUCR03101: [(xASPFN10906,969678)]
NEUCR03103: [(ASPFN10897,798556)]
NEUCR03104: [(ASPFN10896,999519)]
NEUCR03117: [(ASPFN05977,1032853)]
NEUCR03119: [(xASPFN11616,209211)]
NEUCR03124: [(ASPFN05964,624376)]
NEUCR03125: [(xASPFN09928,964985)]
NEUCR03128: [(ASPFN09756,701786)]
NEUCR03129: [(ASPFN13000,1042888)]
NEUCR03134: [(ASPFN09763,984774)]
NEUCR03166: [(ASPFN01317,812274)]
NEUCR03178: [(ASPFN00046,684040)]
NEUCR03181: [(ASPFN00075,995084)]
NEUCR03200: [(ASPFN09578,227607), (ASPFN10366,None)]
NEUCR03231: [(xASPFN09902,959289)]
NEUCR03231: [(xASPFN09902,959289)]
NEUCR03289: [(ASPFN06019,942426)]
NEUCR03292: [(ASPFN05104,930578)]
NEUCR03326: [(ASPFN08194,1008479)]
NEUCR03326: [(ASPFN08194,1008479)]
NEUCR03327: [(ASPFN08190,999080)]
NEUCR03338: [(ASPFN10733,827897)]
NEUCR03342: [(ASPFN12271,603770)]
NEUCR03378: [(ASPFN10465,None), (ASPFN12548,811257)]
NEUCR03415: [(ASPFN00205,965424)]
NEUCR03456: [(xASPFN09046,None)]
NEUCR03483: [(xASPFN10285,807443)]
NEUCR03483: [(xASPFN10285,807443)]
NEUCR03532: [(ASPFN09605,613099)]
NEUCR03540: [(ASPFN11969,937979)]
NEUCR03570: [(ASPFN09517,999501)]
NEUCR03587: [(xASPFN02108,976341)]
NEUCR03588: [(ASPFN02107,1041576)]
NEUCR03592: [(xASPFN02246,1036294)]
NEUCR03602: [(ASPFN06552,None)]
NEUCR03605: [(ASPFN03114,756703)]
NEUCR03608: [(ASPFN11953,810894)]
NEUCR03621: [(ASPFN06529,1031212)]
NEUCR03626: [(ASPFN06591,991392)]
NEUCR03641: [(ASPFN01485,995053)]
NEUCR03647: [(ASPFN10316,None)]
NEUCR03650: [(ASPFN06884,991022)]
NEUCR03655: [(xASPFN10062,950372)]
NEUCR03659: [(ASPFN10068,673640)]
NEUCR03663: [(ASPFN04504,985717)]
NEUCR03665: [(ASPFN11543,983721)]
NEUCR03678: [(ASPFN08473,619505)]
NEUCR03691: [(ASPFN02363,676578)]
NEUCR03694: [(ASPFN01760,613354)]
NEUCR03712: [(ASPFN09394,632903)]
NEUCR03717: [(ASPFN03298,None)]
NEUCR03803: [(ASPFN02318,None)]
NEUCR03822: [(ASPFN12871,1027280)]
NEUCR03846: [(ASPFN04053,810531)]
NEUCR03847: [(ASPFN04067,None)]
NEUCR03862: [(ASPFN06035,807322)]
NEUCR03867: [(ASPFN06026,948850)]
NEUCR03874: [(ASPFN08196,754828)]
NEUCR03875: [(ASPFN10243,1034150)]
NEUCR03877: [(ASPFN00596,949484)]
NEUCR03881: [(ASPFN02124,808388)]
NEUCR03921: [(ASPFN10136,1010038)]
NEUCR03922: [(xASPFN05462,950785)]
NEUCR03924: [(xASPFN10832,940297)]
NEUCR03959: [(ASPFN09652,None)]
NEUCR03976: [(ASPFN09827,813334)]
NEUCR03984: [(ASPFN09528,1037908)]
NEUCR04024: [(ASPFN10848,1006900)]
NEUCR04033: [(ASPFN05931,1026560)]
NEUCR04042: [(ASPFN06679,812029)]
NEUCR04045: [(ASPFN05954,648243)]
NEUCR04051: [(xASPFN08600,993002)]
NEUCR04056: [(ASPFN13001,None)]
NEUCR04063: [(ASPFN00506,None), (ASPFN03764,970005)]
NEUCR04066: [(ASPFN09569,994292)]
NEUCR04073: [(ASPFN07512,808588)]
NEUCR04087: [(ASPFN06206,997768)]
NEUCR04092: [(ASPFN09583,1027686)]
NEUCR04099: [(ASPFN04507,1042693)]
NEUCR04104: [(ASPFN01978,993180)]
NEUCR04110: [(ASPFN13108,685867)]
NEUCR04110: [(ASPFN13108,685867)]
NEUCR04115: [(ASPFN11156,985613)]
NEUCR04118: [(ASPFN06922,947783)]
NEUCR04148: [(ASPFN01146,None), (ASPFN11070,703738)]
NEUCR04178: [(ASPFN01883,None)]
NEUCR04198: [(ASPFN02443,807194)]
NEUCR04203: [(ASPFN08294,1041356)]
NEUCR04207: [(ASPFN05613,809645)]
NEUCR04225: [(ASPFN04122,807690)]
NEUCR04237: [(ASPFN05583,983012)]
NEUCR04241: [(ASPFN04716,838974)]
NEUCR04313: [(ASPFN07981,807488)]
NEUCR04313: [(ASPFN07981,807488)]
NEUCR04313: [(ASPFN07981,807488)]
NEUCR04321: [(ASPFN07770,1042800)]
NEUCR04322: [(ASPFN08014,989201)]
NEUCR04323: [(ASPFN07768,1017822)]
NEUCR04326: [(ASPFN02311,989038)]
NEUCR04328: [(ASPFN04682,1036871)]
NEUCR04404: [(ASPFN05609,965643)]
NEUCR04417: [(xASPFN10033,807513)]
NEUCR04472: [(ASPFN10779,808288)]
NEUCR04495: [(ASPFN12570,1020175)]
NEUCR04507: [(ASPFN10092,955390)]
NEUCR04564: [(ASPFN10763,1041871)]
NEUCR04566: [(ASPFN10796,791366)]
NEUCR04606: [(ASPFN04808,707130)]
NEUCR04627: [(ASPFN08575,585784)]
NEUCR04629: [(ASPFN08570,585417)]
NEUCR04631: [(ASPFN00264,813413)]
NEUCR04640: [(ASPFN09247,763741)]
NEUCR04650: [(ASPFN12883,210794)]
NEUCR04651: [(ASPFN12884,809559)]
NEUCR04691: [(xASPFN02438,941567)]
NEUCR04701: [(ASPFN00758,743989)]
NEUCR04746: [(ASPFN01406,616333)]
NEUCR04762: [(xASPFN10800,950754), (ASPFN02180,None)]
NEUCR04763: [(ASPFN10799,1023960)]
NEUCR04813: [(xASPFN11240,None)]
NEUCR04846: [(ASPFN10155,798557)]
NEUCR04856: [(ASPFN02601,None)]
NEUCR04866: [(xASPFN05356,1025693)]
NEUCR04917: [(ASPFN03594,995998)]
NEUCR04918: [(ASPFN10487,948868)]
NEUCR04938: [(ASPFN00470,None), (ASPFN00703,None)]
NEUCR04944: [(ASPFN02176,811091)]
NEUCR04976: [(ASPFN10843,1021210)]
NEUCR04978: [(ASPFN10159,807114)]
NEUCR04988: [(ASPFN11631,583098)]
NEUCR04989: [(ASPFN11624,1007098)]
NEUCR05012: [(ASPFN12949,1035350)]
NEUCR05013: [(ASPFN07779,600429)]
NEUCR05014: [(ASPFN11079,None)]
NEUCR05018: [(ASPFN00127,985148)]
NEUCR05077: [(ASPFN01356,613414)]
NEUCR05087: [(ASPFN01001,None), (ASPFN08127,740603)]
NEUCR05099: [(ASPFN00139,None)]
NEUCR05099: [(ASPFN00139,None)]
NEUCR05113: [(ASPFN13457,978115)]
NEUCR05117: [(ASPFN06292,672656), (ASPFN12722,None)]
NEUCR05132: [(ASPFN10305,807552)]
NEUCR05136: [(ASPFN09223,750051)]
NEUCR05137: [(ASPFN08269,807514)]
NEUCR05146: [(ASPFN09234,None)]
NEUCR05149: [(ASPFN09232,1019395)]
NEUCR05156: [(ASPFN09843,807160)]
NEUCR05166: [(ASPFN09222,930643)]
NEUCR05169: [(ASPFN03861,989546)]
NEUCR05173: [(ASPFN08176,1019348)]
NEUCR05178: [(ASPFN12187,None)]
NEUCR05308: [(ASPFN10379,810713)]
NEUCR05341: [(ASPFN09129,None)]
NEUCR05344: [(xASPFN06653,723476)]
NEUCR05350: [(ASPFN07384,783929)]
NEUCR05351: [(ASPFN07077,None)]
NEUCR05357: [(xASPFN06281,786449)]
NEUCR05450: [(ASPFN09373,619646)]
NEUCR05459: [(ASPFN08485,639031)]
NEUCR05465: [(ASPFN02836,None)]
NEUCR05487: [(xASPFN10746,739604)]
NEUCR05494: [(ASPFN03123,795899)]
NEUCR05498: [(ASPFN02466,807218)]
NEUCR05521: [(ASPFN05286,1002641)]
NEUCR05525: [(ASPFN09032,None)]
NEUCR05558: [(ASPFN08866,807633)]
NEUCR05560: [(ASPFN01601,None)]
NEUCR05561: [(ASPFN10937,None)]
NEUCR05602: [(ASPFN11742,956876)]
NEUCR05670: [(ASPFN11426,None)]
NEUCR05672: [(ASPFN05720,809935)]
NEUCR05676: [(ASPFN10726,574530)]
NEUCR05685: [(ASPFN13131,None)]
NEUCR05689: [(ASPFN11166,798553)]
NEUCR05699: [(xASPFN11072,None)]
NEUCR05699: [(xASPFN11072,None)]
NEUCR05754: [(ASPFN06698,996955)]
NEUCR05777: [(ASPFN12709,732089)]
NEUCR05784: [(ASPFN04600,935800)]
NEUCR05816: [(ASPFN03248,960971)]
NEUCR05829: [(ASPFN11091,1024184)]
NEUCR05836: [(ASPFN11664,763072)]
NEUCR05845: [(ASPFN00245,807433)]
NEUCR05849: [(ASPFN05697,845863)]
NEUCR05853: [(ASPFN05038,771481)]
NEUCR05856: [(xASPFN08857,767742)]
NEUCR05872: [(ASPFN02350,1010067)]
NEUCR05879: [(ASPFN10655,1007255)]
NEUCR05893: [(ASPFN04482,688222)]
NEUCR05947: [(ASPFN11641,993225)]
NEUCR05947: [(ASPFN11641,993225)]
NEUCR05960: [(ASPFN06897,None)]
NEUCR05979: [(ASPFN08633,None)]
NEUCR05980: [(ASPFN02301,802039)]
NEUCR05996: [(xASPFN11288,939972)]
NEUCR06009: [(ASPFN11425,1040245)]
NEUCR06019: [(ASPFN11559,993576)]
NEUCR06028: [(xASPFN10758,933234)]
NEUCR06047: [(ASPFN11693,697945)]
NEUCR06060: [(ASPFN11673,989868)]
NEUCR06065: [(ASPFN05062,None)]
NEUCR06065: [(ASPFN05062,None)]
NEUCR06067: [(ASPFN10172,583806)]
NEUCR06082: [(ASPFN01463,588249)]
NEUCR06121: [(ASPFN05414,1042063)]
NEUCR06136: [(ASPFN05454,1042269)]
NEUCR06137: [(ASPFN05436,1038466)]
NEUCR06141: [(ASPFN10821,1017063)]
NEUCR06144: [(ASPFN10055,None)]
NEUCR06144: [(ASPFN10055,None)]
NEUCR06145: [(ASPFN08098,1009777)]
NEUCR06156: [(ASPFN08288,None)]
NEUCR06188: [(ASPFN13062,1042966)]
NEUCR06190: [(ASPFN13035,746824)]
NEUCR06199: [(ASPFN02315,583820)]
NEUCR06224: [(ASPFN08270,665740)]
NEUCR06244: [(ASPFN00587,None)]
NEUCR06286: [(ASPFN01983,807174)]
NEUCR06292: [(ASPFN13096,997413)]
NEUCR06294: [(ASPFN09248,810670)]
NEUCR06294: [(ASPFN09248,810670)]
NEUCR06332: [(xASPFN07261,809286)]
NEUCR06355: [(ASPFN11415,None)]
NEUCR06357: [(ASPFN01689,None), (ASPFN03005,None)]
NEUCR06362: [(ASPFN03116,1011354)]
NEUCR06397: [(ASPFN03223,749583)]
NEUCR06452: [(ASPFN09243,575445)]
NEUCR06461: [(ASPFN09838,598420)]
NEUCR06471: [(ASPFN12617,673490)]
NEUCR06472: [(ASPFN12618,1042694)]
NEUCR06473: [(xASPFN12620,997023)]
NEUCR06499: [(ASPFN02066,1036410)]
NEUCR06504: [(ASPFN05602,995681)]
NEUCR06511: [(ASPFN09145,1007473)]
NEUCR06516: [(ASPFN09113,808735)]
NEUCR06520: [(ASPFN13280,809145)]
NEUCR06522: [(ASPFN02985,984355)]
NEUCR06545: [(ASPFN05478,998909)]
NEUCR06578: [(ASPFN08401,634877)]
NEUCR06585: [(ASPFN10531,811887)]
NEUCR06596: [(xASPFN10710,1022142)]
NEUCR06598: [(xASPFN10929,1032776)]
NEUCR06598: [(xASPFN10929,1032776)]
NEUCR06611: [(ASPFN00112,982859)]
NEUCR06619: [(ASPFN00114,793974)]
NEUCR06619: [(ASPFN00114,793974)]
NEUCR06654: [(ASPFN10652,941418)]
NEUCR06672: [(ASPFN06256,None), (ASPFN07095,792010)]
NEUCR06673: [(ASPFN07098,690390)]
NEUCR06700: [(ASPFN03924,737587)]
NEUCR06725: [(ASPFN04531,1043409)]
NEUCR06726: [(ASPFN05196,None)]
NEUCR06751: [(ASPFN09746,1017637)]
NEUCR06752: [(xASPFN07796,995923)]
NEUCR06779: [(ASPFN06716,None)]
NEUCR06785: [(ASPFN04546,807727)]
NEUCR06795: [(ASPFN04609,670148)]
NEUCR06798: [(ASPFN06287,666012)]
NEUCR06803: [(ASPFN03230,1042013)]
NEUCR06805: [(ASPFN09122,1026367)]
NEUCR06812: [(xASPFN11960,None)]
NEUCR06823: [(ASPFN04614,None)]
NEUCR06825: [(ASPFN04597,1006617)]
NEUCR06848: [(ASPFN03814,None)]
NEUCR06852: [(ASPFN02010,1035370)]
NEUCR06858: [(ASPFN01133,None), (ASPFN06542,1039931)]
NEUCR06863: [(ASPFN06644,695538)]
NEUCR06944: [(ASPFN07205,1006238)]
NEUCR06945: [(ASPFN04907,None)]
NEUCR06968: [(ASPFN08020,1041987)]
NEUCR06975: [(ASPFN09523,1037019)]
NEUCR06977: [(ASPFN05257,803954)]
NEUCR06987: [(ASPFN03023,1040959)]
NEUCR06999: [(ASPFN05856,813769)]
NEUCR07001: [(ASPFN04059,976622)]
NEUCR07005: [(ASPFN08228,808398)]
NEUCR07023: [(ASPFN02060,807390)]
NEUCR07034: [(ASPFN09294,807525)]
NEUCR07045: [(ASPFN06517,None)]
NEUCR07050: [(ASPFN11555,None)]
NEUCR07060: [(ASPFN06693,1033862)]
NEUCR07082: [(ASPFN05665,808393)]
NEUCR07082: [(ASPFN05665,808393)]
NEUCR07089: [(ASPFN02188,737574)]
NEUCR07096: [(ASPFN04013,965048)]
NEUCR07102: [(ASPFN01525,807428)]
NEUCR07104: [(ASPFN07258,690448)]
NEUCR07107: [(ASPFN07253,677930)]
NEUCR07131: [(ASPFN07930,1009922)]
NEUCR07156: [(ASPFN13382,1031735)]
NEUCR07160: [(ASPFN06088,785498)]
NEUCR07161: [(ASPFN13355,961493)]
NEUCR07183: [(ASPFN12608,977530)]
NEUCR07187: [(ASPFN09334,837440), (ASPFN10912,None)]
NEUCR07198: [(ASPFN11723,999153)]
NEUCR07211: [(ASPFN06664,988272)]
NEUCR07215: [(ASPFN04349,None)]
NEUCR07236: [(ASPFN09038,813635)]
NEUCR07265: [(ASPFN06265,604610)]
NEUCR07267: [(xASPFN12103,None)]
NEUCR07285: [(ASPFN07395,654516)]
NEUCR07287: [(ASPFN10587,990373)]
NEUCR07303: [(ASPFN04140,598421)]
NEUCR07303: [(ASPFN04140,598421)]
NEUCR07322: [(ASPFN01339,604773)]
NEUCR07324: [(ASPFN08668,1031484)]
NEUCR07349: [(ASPFN13399,1012172)]
NEUCR07349: [(ASPFN13399,1012172)]
NEUCR07350: [(ASPFN13398,1000349)]
NEUCR07352: [(ASPFN12667,976697)]
NEUCR07393: [(ASPFN05634,969840)]
NEUCR07418: [(ASPFN01227,970991)]
NEUCR07457: [(ASPFN05667,None)]
NEUCR07469: [(ASPFN05678,1018671)]
