Neurospora crassa Imperfect Union Tuber melanosporum: 506
NEUCR00038: [(TUBMM06029,1025192)]
NEUCR02531: [(TUBMM01894,1027391)]
NEUCR02570: [(TUBMM07336,None)]
NEUCR02579: [(TUBMM04477,1020229)]
NEUCR02593: [(TUBMM04649,807362)]
NEUCR02599: [(TUBMM03533,1041722)]
NEUCR02609: [(TUBMM04475,598765)]
NEUCR02627: [(TUBMM04500,807234)]
NEUCR02632: [(TUBMM05504,None)]
NEUCR02666: [(TUBMM06143,807230)]
NEUCR02687: [(TUBMM06158,None)]
NEUCR02717: [(TUBMM07240,1013239)]
NEUCR02719: [(TUBMM01842,949404)]
NEUCR02736: [(TUBMM05515,807158)]
NEUCR02742: [(TUBMM07185,768651)]
NEUCR02753: [(TUBMM04107,None)]
NEUCR02764: [(TUBMM06909,None)]
NEUCR02775: [(TUBMM01085,810541)]
NEUCR02781: [(TUBMM03667,707296)]
NEUCR02788: [(TUBMM00370,None)]
NEUCR02790: [(TUBMM07159,807655)]
NEUCR02790: [(TUBMM07159,807655)]
NEUCR02799: [(TUBMM07221,1037655)]
NEUCR02805: [(xTUBMM04169,None)]
NEUCR02819: [(TUBMM04489,None)]
NEUCR02832: [(TUBMM02727,None)]
NEUCR02846: [(TUBMM07193,807688)]
NEUCR02862: [(TUBMM01481,986863)]
NEUCR02889: [(TUBMM07354,954640)]
NEUCR02906: [(TUBMM07423,1013358)]
NEUCR02925: [(TUBMM01473,583157)]
NEUCR02935: [(TUBMM02923,955952)]
NEUCR02945: [(TUBMM01298,811843)]
NEUCR02963: [(TUBMM00336,807195)]
NEUCR03029: [(TUBMM05651,782449)]
NEUCR03031: [(TUBMM05015,1018176)]
NEUCR03050: [(TUBMM01569,None)]
NEUCR03051: [(TUBMM01570,None)]
NEUCR03069: [(TUBMM06066,1029802)]
NEUCR03081: [(TUBMM04801,807196)]
NEUCR03087: [(xTUBMM02150,939183)]
NEUCR03087: [(xTUBMM02150,939183)]
NEUCR03097: [(TUBMM00793,807227)]
NEUCR03101: [(xTUBMM05568,969678)]
NEUCR03103: [(TUBMM05764,798556)]
NEUCR03104: [(TUBMM06850,999519)]
NEUCR03106: [(TUBMM03026,None)]
NEUCR03117: [(TUBMM07036,1032853)]
NEUCR03124: [(TUBMM03657,624376)]
NEUCR03125: [(xTUBMM06198,964985)]
NEUCR03128: [(TUBMM03891,701786)]
NEUCR03129: [(TUBMM06901,None)]
NEUCR03165: [(TUBMM05496,1035429)]
NEUCR03169: [(TUBMM00422,963894)]
NEUCR03178: [(TUBMM05539,684040)]
NEUCR03181: [(TUBMM03962,995084)]
NEUCR03200: [(TUBMM00596,227607)]
NEUCR03215: [(TUBMM05490,809621)]
NEUCR03222: [(TUBMM03960,1000437)]
NEUCR03229: [(TUBMM03005,807317)]
NEUCR03231: [(xTUBMM03003,959289)]
NEUCR03231: [(xTUBMM03003,959289)]
NEUCR03257: [(TUBMM01870,1022220)]
NEUCR03289: [(TUBMM03021,942426)]
NEUCR03292: [(TUBMM03036,None)]
NEUCR03326: [(TUBMM03975,1008479)]
NEUCR03326: [(TUBMM03975,1008479)]
NEUCR03327: [(TUBMM01782,999080)]
NEUCR03338: [(TUBMM02325,None)]
NEUCR03342: [(TUBMM05393,603770)]
NEUCR03398: [(TUBMM00994,1038995)]
NEUCR03415: [(TUBMM03912,965424)]
NEUCR03483: [(xTUBMM00479,807443)]
NEUCR03483: [(xTUBMM00479,807443)]
NEUCR03533: [(TUBMM05942,None)]
NEUCR03570: [(TUBMM06391,999501)]
NEUCR03587: [(xTUBMM02269,976341)]
NEUCR03588: [(TUBMM04851,1041576)]
NEUCR03592: [(xTUBMM01985,1036294)]
NEUCR03605: [(TUBMM00613,756703)]
NEUCR03608: [(TUBMM05842,810894)]
NEUCR03621: [(TUBMM05542,1031212)]
NEUCR03626: [(TUBMM02277,991392)]
NEUCR03641: [(TUBMM00048,995053)]
NEUCR03647: [(TUBMM03486,None), (TUBMM04646,1026448)]
NEUCR03650: [(TUBMM01241,991022)]
NEUCR03655: [(xTUBMM02573,950372)]
NEUCR03665: [(TUBMM06251,983721)]
NEUCR03699: [(TUBMM07135,975715)]
NEUCR03717: [(TUBMM04702,807435)]
NEUCR03822: [(TUBMM05139,1027280)]
NEUCR03846: [(TUBMM03108,None)]
NEUCR03862: [(TUBMM02491,807322)]
NEUCR03867: [(TUBMM06202,948850)]
NEUCR03874: [(TUBMM03129,None)]
NEUCR03875: [(TUBMM01278,1034150)]
NEUCR03876: [(xTUBMM01053,807541)]
NEUCR03881: [(TUBMM02268,808388)]
NEUCR03921: [(TUBMM01111,1010038)]
NEUCR03959: [(TUBMM04308,935789)]
NEUCR03976: [(TUBMM03931,813334)]
NEUCR04018: [(TUBMM02912,745556)]
NEUCR04024: [(TUBMM01960,1006900)]
NEUCR04045: [(TUBMM01080,None)]
NEUCR04046: [(TUBMM00035,986015)]
NEUCR04051: [(xTUBMM05575,None)]
NEUCR04063: [(TUBMM06389,None)]
NEUCR04066: [(TUBMM00220,994292), (TUBMM06085,None)]
NEUCR04073: [(TUBMM00924,808588)]
NEUCR04087: [(TUBMM06523,997768)]
NEUCR04099: [(TUBMM06921,1042693)]
NEUCR04104: [(TUBMM04469,993180)]
NEUCR04110: [(TUBMM07077,685867)]
NEUCR04110: [(TUBMM07077,685867)]
NEUCR04148: [(xTUBMM00427,703738)]
NEUCR04193: [(TUBMM03387,1020995)]
NEUCR04198: [(TUBMM03392,807194)]
NEUCR04202: [(xTUBMM02695,None)]
NEUCR04203: [(TUBMM07098,1041356)]
NEUCR04205: [(TUBMM07052,None)]
NEUCR04237: [(TUBMM00837,983012)]
NEUCR04313: [(TUBMM00874,807488)]
NEUCR04313: [(TUBMM00874,807488)]
NEUCR04313: [(TUBMM00874,807488)]
NEUCR04321: [(TUBMM00897,1042800)]
NEUCR04322: [(TUBMM06339,989201)]
NEUCR04323: [(TUBMM01938,1017822)]
NEUCR04326: [(TUBMM04854,989038)]
NEUCR04328: [(TUBMM05565,1036871)]
NEUCR04404: [(TUBMM06022,965643)]
NEUCR04426: [(TUBMM01859,None)]
NEUCR04454: [(xTUBMM06379,1013194)]
NEUCR04471: [(TUBMM00906,808877)]
NEUCR04472: [(TUBMM02356,808288)]
NEUCR04495: [(TUBMM03909,None)]
NEUCR04525: [(xTUBMM00581,575094)]
NEUCR04525: [(xTUBMM00581,575094)]
NEUCR04564: [(TUBMM02961,1041871)]
NEUCR04566: [(TUBMM01638,791366)]
NEUCR04590: [(TUBMM05249,1018158)]
NEUCR04599: [(TUBMM01667,None)]
NEUCR04627: [(TUBMM00622,585784)]
NEUCR04640: [(TUBMM05422,763741)]
NEUCR04675: [(xTUBMM06242,689974)]
NEUCR04691: [(xTUBMM03379,941567)]
NEUCR04720: [(TUBMM03468,None)]
NEUCR04801: [(TUBMM04199,None)]
NEUCR04813: [(xTUBMM00696,696155)]
NEUCR04846: [(TUBMM01903,798557)]
NEUCR04856: [(TUBMM00515,None)]
NEUCR04866: [(xTUBMM02419,1025693)]
NEUCR04918: [(TUBMM01661,948868)]
NEUCR04944: [(TUBMM01314,811091)]
NEUCR04960: [(TUBMM04167,779161)]
NEUCR04976: [(TUBMM01965,1021210)]
NEUCR04978: [(TUBMM06984,807114)]
NEUCR04988: [(TUBMM05063,583098)]
NEUCR04989: [(TUBMM02202,1007098)]
NEUCR05012: [(TUBMM04725,1035350)]
NEUCR05018: [(TUBMM01492,985148)]
NEUCR05067: [(TUBMM00895,814607)]
NEUCR05087: [(TUBMM00903,740603)]
NEUCR05099: [(TUBMM06620,None), (TUBMM06806,None)]
NEUCR05099: [(TUBMM06620,None), (TUBMM06806,None)]
NEUCR05113: [(TUBMM07048,978115)]
NEUCR05132: [(TUBMM01036,807552)]
NEUCR05136: [(TUBMM00074,750051)]
NEUCR05137: [(TUBMM02736,807514)]
NEUCR05146: [(TUBMM00154,None)]
NEUCR05149: [(TUBMM00164,1019395)]
NEUCR05156: [(TUBMM06766,807160)]
NEUCR05159: [(TUBMM03260,786511)]
NEUCR05166: [(TUBMM00069,None)]
NEUCR05169: [(TUBMM00084,989546)]
NEUCR05170: [(xTUBMM04973,1020269)]
NEUCR05170: [(xTUBMM04973,1020269)]
NEUCR05178: [(TUBMM04860,1009370)]
NEUCR05305: [(TUBMM05503,1042921)]
NEUCR05307: [(xTUBMM03113,None)]
NEUCR05341: [(TUBMM02795,993741)]
NEUCR05344: [(xTUBMM02117,723476)]
NEUCR05357: [(TUBMM02625,786449)]
NEUCR05402: [(xTUBMM01258,None)]
NEUCR05487: [(xTUBMM04958,739604)]
NEUCR05498: [(TUBMM07237,807218)]
NEUCR05525: [(TUBMM05449,807351)]
NEUCR05548: [(TUBMM01432,799063)]
NEUCR05560: [(TUBMM06580,None)]
NEUCR05670: [(TUBMM02350,821463)]
NEUCR05676: [(TUBMM07356,574530)]
NEUCR05689: [(TUBMM04488,798553)]
NEUCR05700: [(TUBMM02962,None)]
NEUCR05777: [(TUBMM03353,732089)]
NEUCR05816: [(TUBMM07152,960971)]
NEUCR05829: [(TUBMM04095,1024184)]
NEUCR05836: [(TUBMM04137,763072)]
NEUCR05845: [(TUBMM03902,807433)]
NEUCR05851: [(TUBMM00600,975351)]
NEUCR05856: [(xTUBMM01860,767742)]
NEUCR05879: [(TUBMM06000,1007255)]
NEUCR05893: [(xTUBMM01584,688222)]
NEUCR05947: [(TUBMM04101,993225)]
NEUCR05947: [(TUBMM04101,993225)]
NEUCR05996: [(xTUBMM01206,939972)]
NEUCR06009: [(TUBMM06383,1040245)]
NEUCR06013: [(TUBMM04450,None)]
NEUCR06019: [(TUBMM06908,993576)]
NEUCR06028: [(xTUBMM02964,933234)]
NEUCR06047: [(TUBMM06136,697945)]
NEUCR06067: [(TUBMM01100,583806)]
NEUCR06121: [(TUBMM01942,1042063)]
NEUCR06136: [(TUBMM06965,1042269)]
NEUCR06137: [(TUBMM06958,1038466)]
NEUCR06141: [(TUBMM07208,1017063)]
NEUCR06145: [(TUBMM00599,1009777)]
NEUCR06172: [(TUBMM02493,653863)]
NEUCR06179: [(TUBMM07122,None)]
NEUCR06188: [(TUBMM02302,1042966)]
NEUCR06190: [(xTUBMM00525,None)]
NEUCR06199: [(TUBMM02802,583820)]
NEUCR06224: [(TUBMM06931,665740)]
NEUCR06249: [(TUBMM02378,963139)]
NEUCR06286: [(TUBMM03230,807174)]
NEUCR06292: [(TUBMM03152,997413)]
NEUCR06332: [(TUBMM02389,809286)]
NEUCR06355: [(TUBMM02342,680641)]
NEUCR06357: [(TUBMM04690,None)]
NEUCR06362: [(TUBMM01268,1011354)]
NEUCR06374: [(TUBMM03060,811000)]
NEUCR06403: [(TUBMM05834,None)]
NEUCR06436: [(TUBMM04411,None)]
NEUCR06436: [(TUBMM04411,None)]
NEUCR06451: [(TUBMM03391,983929)]
NEUCR06452: [(TUBMM00096,None)]
NEUCR06461: [(TUBMM06762,598420)]
NEUCR06471: [(TUBMM03000,673490)]
NEUCR06472: [(TUBMM05390,1042694)]
NEUCR06499: [(TUBMM05930,1036410)]
NEUCR06504: [(TUBMM05983,995681)]
NEUCR06511: [(TUBMM06023,1007473)]
NEUCR06516: [(TUBMM07325,None)]
NEUCR06520: [(TUBMM05923,809145)]
NEUCR06524: [(TUBMM00997,995267)]
NEUCR06545: [(TUBMM06960,998909)]
NEUCR06596: [(xTUBMM00404,1022142)]
NEUCR06598: [(xTUBMM06027,1032776)]
NEUCR06598: [(xTUBMM06027,1032776)]
NEUCR06611: [(TUBMM00921,982859)]
NEUCR06619: [(TUBMM00919,793974)]
NEUCR06619: [(TUBMM00919,793974)]
NEUCR06672: [(TUBMM01213,792010), (TUBMM02743,None)]
NEUCR06673: [(TUBMM01214,None)]
NEUCR06688: [(TUBMM02174,606281)]
NEUCR06727: [(xTUBMM01099,974872)]
NEUCR06727: [(xTUBMM01099,974872)]
NEUCR06746: [(TUBMM06218,767746)]
NEUCR06752: [(xTUBMM03845,995923)]
NEUCR06779: [(TUBMM02279,None)]
NEUCR06785: [(TUBMM04811,807727)]
NEUCR06795: [(TUBMM02473,None)]
NEUCR06798: [(TUBMM00411,666012)]
NEUCR06803: [(TUBMM01553,1042013)]
NEUCR06812: [(xTUBMM06397,None)]
NEUCR06823: [(TUBMM04595,1035418)]
NEUCR06825: [(TUBMM04599,1006617)]
NEUCR06848: [(TUBMM00685,None)]
NEUCR06849: [(TUBMM03063,None)]
NEUCR06852: [(TUBMM01155,1035370)]
NEUCR06917: [(TUBMM04393,1043513)]
NEUCR06944: [(TUBMM03723,1006238)]
NEUCR06945: [(TUBMM01129,None)]
NEUCR06949: [(TUBMM03393,941425)]
NEUCR06968: [(TUBMM00894,1041987)]
NEUCR06975: [(TUBMM06471,1037019)]
NEUCR06977: [(TUBMM03402,803954)]
NEUCR06987: [(TUBMM02849,1040959)]
NEUCR06999: [(TUBMM00225,813769)]
NEUCR07012: [(TUBMM02836,None)]
NEUCR07023: [(TUBMM07058,807390)]
NEUCR07034: [(TUBMM06343,807525)]
NEUCR07045: [(TUBMM02226,None)]
NEUCR07050: [(TUBMM00272,985696)]
NEUCR07060: [(TUBMM03745,1033862)]
NEUCR07062: [(xTUBMM04786,944899)]
NEUCR07082: [(TUBMM04715,808393)]
NEUCR07082: [(TUBMM04715,808393)]
NEUCR07102: [(TUBMM01750,807428)]
NEUCR07104: [(TUBMM01749,690448)]
NEUCR07107: [(TUBMM01901,None)]
NEUCR07131: [(TUBMM03074,1009922)]
NEUCR07156: [(TUBMM06883,1031735)]
NEUCR07183: [(TUBMM05085,977530)]
NEUCR07211: [(TUBMM07465,988272)]
NEUCR07215: [(TUBMM00532,None)]
NEUCR07220: [(TUBMM07459,1019291)]
NEUCR07236: [(TUBMM02448,None)]
NEUCR07265: [(TUBMM04614,604610)]
NEUCR07267: [(xTUBMM05254,None)]
NEUCR07285: [(TUBMM04765,654516)]
NEUCR07287: [(TUBMM04367,990373)]
NEUCR07296: [(TUBMM05170,None)]
NEUCR07303: [(TUBMM04550,598421)]
NEUCR07303: [(TUBMM04550,598421)]
NEUCR07322: [(TUBMM00733,604773)]
NEUCR07323: [(TUBMM06418,None)]
NEUCR07349: [(TUBMM03101,1012172)]
NEUCR07349: [(TUBMM03101,1012172)]
NEUCR07352: [(TUBMM06811,976697)]
NEUCR07393: [(TUBMM01610,969840)]
NEUCR07396: [(TUBMM00263,None)]
NEUCR07457: [(TUBMM04694,None)]
NEUCR07469: [(TUBMM01957,1018671)]
NEUCR07472: [(TUBMM04853,1042330)]
NEUCR07474: [(TUBMM05884,807623)]
NEUCR07476: [(TUBMM05976,1038692)]
NEUCR07478: [(TUBMM06031,943442)]
NEUCR07480: [(TUBMM04720,583824)]
NEUCR07491: [(TUBMM06721,None)]
NEUCR07499: [(xTUBMM03954,959592)]
NEUCR07519: [(TUBMM05947,776914)]
NEUCR07522: [(xTUBMM06410,791095)]
NEUCR07545: [(TUBMM05322,None)]
NEUCR07565: [(TUBMM00861,997288)]
