Neurospora crassa Imperfect Union Aspergillus niger: 553
NEUCR00038: [(ASPNG02315,1025192)]
NEUCR01388: [(xASPNG07030,994401)]
NEUCR01392: [(xASPNG01885,680814)]
NEUCR01398: [(xASPNG01913,968651)]
NEUCR01428: [(ASPNG01757,973663)]
NEUCR01434: [(ASPNG01759,779285)]
NEUCR01437: [(ASPNG10268,947721)]
NEUCR01440: [(ASPNG09073,992163)]
NEUCR01440: [(ASPNG09073,992163)]
NEUCR01454: [(ASPNG07151,1041416)]
NEUCR01454: [(ASPNG07151,1041416)]
NEUCR01455: [(xASPNG04759,1035942)]
NEUCR01455: [(xASPNG04759,1035942)]
NEUCR01461: [(ASPNG08925,770084)]
NEUCR01472: [(ASPNG09276,1032432)]
NEUCR01485: [(ASPNG02789,963962)]
NEUCR01525: [(ASPNG05425,746781)]
NEUCR01556: [(ASPNG00041,761549)]
NEUCR01559: [(ASPNG01991,1010317)]
NEUCR01560: [(xASPNG08656,766063)]
NEUCR01564: [(ASPNG04319,802748)]
NEUCR01568: [(ASPNG07957,999893)]
NEUCR01582: [(ASPNG05495,None)]
NEUCR01601: [(ASPNG04724,808460)]
NEUCR01601: [(ASPNG04724,808460)]
NEUCR01606: [(ASPNG00214,807451)]
NEUCR01612: [(ASPNG00206,1003176)]
NEUCR01613: [(ASPNG00205,988593)]
NEUCR01619: [(ASPNG06184,1012492)]
NEUCR01620: [(ASPNG02278,950820)]
NEUCR01630: [(ASPNG06194,809408)]
NEUCR01643: [(xASPNG00270,984832)]
NEUCR01644: [(ASPNG01595,None), (ASPNG04725,636518)]
NEUCR01646: [(ASPNG04726,None)]
NEUCR01646: [(ASPNG04726,None)]
NEUCR01650: [(ASPNG08813,1013376)]
NEUCR01670: [(ASPNG00259,996211)]
NEUCR01683: [(ASPNG06160,807387)]
NEUCR01702: [(ASPNG03758,1042639)]
NEUCR01703: [(ASPNG03762,975897)]
NEUCR01714: [(ASPNG07192,687828)]
NEUCR01714: [(ASPNG07192,687828)]
NEUCR01736: [(ASPNG00652,973958)]
NEUCR01770: [(ASPNG05555,728911)]
NEUCR01797: [(xASPNG01045,991597)]
NEUCR01802: [(ASPNG06537,633874)]
NEUCR01814: [(ASPNG05218,768773)]
NEUCR01825: [(ASPNG02203,1041133)]
NEUCR01835: [(ASPNG09114,624233)]
NEUCR01841: [(ASPNG07444,766352)]
NEUCR01857: [(ASPNG02213,947833)]
NEUCR01883: [(ASPNG04743,1034011)]
NEUCR01902: [(ASPNG09111,974496)]
NEUCR01907: [(ASPNG06178,807241)]
NEUCR01918: [(ASPNG00806,811104)]
NEUCR01953: [(ASPNG01002,932934)]
NEUCR01955: [(xASPNG02484,958680)]
NEUCR01983: [(ASPNG06281,1034149)]
NEUCR01992: [(ASPNG02655,971508)]
NEUCR01993: [(ASPNG02654,1014104)]
NEUCR02005: [(xASPNG05265,985986)]
NEUCR02009: [(ASPNG08632,1023410)]
NEUCR02013: [(ASPNG04709,1040701)]
NEUCR02024: [(ASPNG02943,988940)]
NEUCR02035: [(ASPNG02601,575030)]
NEUCR02041: [(ASPNG00727,933910)]
NEUCR02045: [(ASPNG04744,1040630)]
NEUCR02058: [(ASPNG09091,1012474)]
NEUCR02090: [(xASPNG07181,1034008)]
NEUCR02139: [(ASPNG00224,None)]
NEUCR02139: [(ASPNG00224,None)]
NEUCR02201: [(ASPNG05456,1018219)]
NEUCR02208: [(ASPNG00082,771031)]
NEUCR02211: [(ASPNG03617,664922)]
NEUCR02243: [(ASPNG03459,934671), (ASPNG04566,None)]
NEUCR02278: [(ASPNG08056,814608)]
NEUCR02279: [(ASPNG08150,807107)]
NEUCR02284: [(ASPNG03848,811925)]
NEUCR02322: [(ASPNG06126,934932)]
NEUCR02347: [(ASPNG05378,1043066)]
NEUCR02359: [(ASPNG00846,957868)]
NEUCR02376: [(ASPNG06561,807622)]
NEUCR02385: [(ASPNG09129,654334)]
NEUCR02393: [(ASPNG04602,None)]
NEUCR02408: [(ASPNG04422,714209)]
NEUCR02422: [(ASPNG07396,964148)]
NEUCR02432: [(ASPNG01643,815461)]
NEUCR02438: [(ASPNG03671,None)]
NEUCR02439: [(ASPNG05786,1018692)]
NEUCR02444: [(ASPNG07092,None)]
NEUCR02450: [(ASPNG05814,974586)]
NEUCR02465: [(ASPNG07095,583829)]
NEUCR02476: [(ASPNG07868,1024303)]
NEUCR02479: [(ASPNG05820,None)]
NEUCR02491: [(ASPNG05845,1034443)]
NEUCR02499: [(ASPNG09093,None)]
NEUCR02502: [(xASPNG07395,1031039)]
NEUCR02504: [(ASPNG05832,990159)]
NEUCR02508: [(ASPNG00703,993455)]
NEUCR02531: [(ASPNG01672,1027391)]
NEUCR02570: [(ASPNG00795,814498), (ASPNG06064,None), (ASPNG09560,None)]
NEUCR02579: [(ASPNG07909,1020229)]
NEUCR02593: [(ASPNG07917,807362)]
NEUCR02599: [(ASPNG01642,1041722)]
NEUCR02609: [(ASPNG02986,598765)]
NEUCR02627: [(ASPNG07461,807234)]
NEUCR02632: [(ASPNG00663,951810)]
NEUCR02685: [(ASPNG02653,1003369)]
NEUCR02686: [(ASPNG02643,None)]
NEUCR02687: [(ASPNG04367,None)]
NEUCR02702: [(ASPNG01947,None), (ASPNG09598,815140)]
NEUCR02713: [(ASPNG03056,807409)]
NEUCR02717: [(ASPNG10177,1013239)]
NEUCR02719: [(ASPNG04071,949404)]
NEUCR02736: [(ASPNG10175,807158)]
NEUCR02742: [(ASPNG04131,768651)]
NEUCR02764: [(ASPNG04967,1006282)]
NEUCR02773: [(ASPNG03769,655288)]
NEUCR02775: [(ASPNG00483,810541)]
NEUCR02781: [(ASPNG01686,707296)]
NEUCR02788: [(ASPNG08963,None)]
NEUCR02790: [(ASPNG04121,807655)]
NEUCR02790: [(ASPNG04121,807655)]
NEUCR02799: [(ASPNG03076,1037655)]
NEUCR02805: [(xASPNG05081,1038666)]
NEUCR02806: [(ASPNG04787,1022502)]
NEUCR02825: [(ASPNG04946,None)]
NEUCR02830: [(ASPNG06382,None)]
NEUCR02846: [(ASPNG07141,807688)]
NEUCR02862: [(ASPNG04794,986863)]
NEUCR02884: [(ASPNG09413,949343)]
NEUCR02886: [(ASPNG05111,807632)]
NEUCR02906: [(ASPNG08743,1013358)]
NEUCR02925: [(ASPNG04786,None)]
NEUCR02935: [(ASPNG05005,955952)]
NEUCR02945: [(ASPNG00871,811843)]
NEUCR02963: [(ASPNG03583,807195)]
NEUCR03015: [(ASPNG01823,999084)]
NEUCR03017: [(ASPNG05801,767744)]
NEUCR03029: [(ASPNG02036,782449)]
NEUCR03050: [(ASPNG08748,813227)]
NEUCR03051: [(ASPNG07305,None)]
NEUCR03069: [(ASPNG03619,1029802)]
NEUCR03081: [(ASPNG07303,807196)]
NEUCR03087: [(ASPNG08221,None)]
NEUCR03087: [(ASPNG08221,None)]
NEUCR03101: [(xASPNG00147,969678)]
NEUCR03106: [(xASPNG04852,978542)]
NEUCR03117: [(xASPNG00897,None)]
NEUCR03124: [(ASPNG00904,624376)]
NEUCR03125: [(xASPNG04453,964985)]
NEUCR03128: [(ASPNG01504,701786)]
NEUCR03129: [(ASPNG01385,1042888)]
NEUCR03178: [(ASPNG05697,None)]
NEUCR03181: [(ASPNG05713,995084)]
NEUCR03191: [(ASPNG08118,604548)]
NEUCR03200: [(ASPNG03603,227607)]
NEUCR03215: [(ASPNG05940,809621)]
NEUCR03229: [(ASPNG04464,807317)]
NEUCR03231: [(xASPNG04462,959289)]
NEUCR03231: [(xASPNG04462,959289)]
NEUCR03236: [(ASPNG08190,None)]
NEUCR03289: [(ASPNG00856,942426)]
NEUCR03292: [(ASPNG04428,930578)]
NEUCR03326: [(ASPNG07632,1008479)]
NEUCR03326: [(ASPNG07632,1008479)]
NEUCR03327: [(ASPNG07629,999080)]
NEUCR03342: [(ASPNG03307,603770)]
NEUCR03398: [(ASPNG03303,1038995)]
NEUCR03483: [(xASPNG02756,807443)]
NEUCR03483: [(xASPNG02756,807443)]
NEUCR03494: [(ASPNG07281,962114)]
NEUCR03522: [(ASPNG06534,None)]
NEUCR03532: [(ASPNG03636,613099)]
NEUCR03540: [(ASPNG09495,937979)]
NEUCR03587: [(xASPNG08048,976341)]
NEUCR03588: [(ASPNG08047,1041576)]
NEUCR03592: [(xASPNG06977,1036294)]
NEUCR03602: [(ASPNG08637,None)]
NEUCR03605: [(ASPNG01922,756703)]
NEUCR03608: [(ASPNG09482,810894)]
NEUCR03621: [(ASPNG04021,1031212)]
NEUCR03626: [(ASPNG03957,991392)]
NEUCR03641: [(ASPNG03222,995053)]
NEUCR03650: [(ASPNG10254,991022)]
NEUCR03655: [(xASPNG01876,950372)]
NEUCR03663: [(ASPNG06904,985717)]
NEUCR03665: [(ASPNG04983,983721)]
NEUCR03691: [(ASPNG06960,676578)]
NEUCR03717: [(ASPNG06515,807435)]
NEUCR03803: [(ASPNG07014,807356)]
NEUCR03822: [(ASPNG00675,1027280)]
NEUCR03846: [(ASPNG08756,810531)]
NEUCR03862: [(ASPNG00843,807322)]
NEUCR03874: [(ASPNG07634,754828)]
NEUCR03875: [(ASPNG02800,None)]
NEUCR03877: [(ASPNG06209,949484)]
NEUCR03881: [(ASPNG08063,808388)]
NEUCR03921: [(ASPNG01804,1010038)]
NEUCR03922: [(xASPNG04183,950785)]
NEUCR03924: [(xASPNG00455,940297)]
NEUCR03954: [(ASPNG00753,987276)]
NEUCR03957: [(ASPNG09459,None)]
NEUCR03959: [(ASPNG02353,None)]
NEUCR03976: [(ASPNG04527,813334)]
NEUCR03984: [(ASPNG03579,1037908)]
NEUCR04024: [(ASPNG00468,1006900)]
NEUCR04033: [(ASPNG00941,1026560)]
NEUCR04045: [(ASPNG00910,648243)]
NEUCR04046: [(ASPNG00911,986015)]
NEUCR04051: [(xASPNG04697,993002)]
NEUCR04063: [(ASPNG05696,None)]
NEUCR04073: [(ASPNG05586,808588)]
NEUCR04092: [(ASPNG03608,1027686)]
NEUCR04095: [(ASPNG05621,974971)]
NEUCR04099: [(ASPNG06907,1042693)]
NEUCR04104: [(ASPNG07415,993180)]
NEUCR04110: [(ASPNG05841,685867)]
NEUCR04110: [(ASPNG05841,685867)]
NEUCR04115: [(ASPNG01664,985613)]
NEUCR04118: [(ASPNG08488,947783)]
NEUCR04148: [(ASPNG01732,703738)]
NEUCR04151: [(ASPNG00128,None)]
NEUCR04178: [(ASPNG08715,None)]
NEUCR04205: [(ASPNG09860,1018230)]
NEUCR04207: [(ASPNG09054,809645)]
NEUCR04225: [(ASPNG08820,807690)]
NEUCR04321: [(ASPNG05679,1042800)]
NEUCR04322: [(ASPNG00722,989201)]
NEUCR04323: [(ASPNG05681,1017822)]
NEUCR04326: [(ASPNG07008,989038)]
NEUCR04328: [(ASPNG05379,1036871)]
NEUCR04354: [(ASPNG07177,None), (ASPNG08969,None)]
NEUCR04404: [(ASPNG09058,965643)]
NEUCR04417: [(xASPNG06416,807513)]
NEUCR04454: [(ASPNG02113,1013194)]
NEUCR04472: [(ASPNG02378,808288)]
NEUCR04495: [(ASPNG01775,1020175)]
NEUCR04507: [(ASPNG01845,955390)]
NEUCR04564: [(ASPNG02394,1041871)]
NEUCR04566: [(ASPNG02349,791366)]
NEUCR04590: [(ASPNG07721,1018158)]
NEUCR04602: [(ASPNG02387,941689)]
NEUCR04627: [(ASPNG04676,585784)]
NEUCR04629: [(ASPNG04670,585417)]
NEUCR04631: [(ASPNG07828,813413)]
NEUCR04640: [(ASPNG02074,763741)]
NEUCR04651: [(ASPNG00685,809559)]
NEUCR04691: [(xASPNG00572,941567)]
NEUCR04701: [(ASPNG09182,743989)]
NEUCR04720: [(ASPNG01657,None), (ASPNG10026,None)]
NEUCR04762: [(xASPNG00434,950754)]
NEUCR04763: [(ASPNG00433,1023960)]
NEUCR04769: [(ASPNG06352,794331), (ASPNG07218,None)]
NEUCR04813: [(ASPNG05930,696155)]
NEUCR04846: [(ASPNG04737,None)]
NEUCR04856: [(ASPNG03771,None)]
NEUCR04866: [(xASPNG04268,1025693)]
NEUCR04870: [(ASPNG01563,861398), (ASPNG09732,None)]
NEUCR04937: [(ASPNG03658,829982)]
NEUCR04938: [(ASPNG09224,676664)]
NEUCR04944: [(ASPNG03876,811091)]
NEUCR04976: [(ASPNG00463,1021210)]
NEUCR04978: [(ASPNG04170,807114)]
NEUCR04988: [(ASPNG04771,583098)]
NEUCR04989: [(ASPNG04838,1007098)]
NEUCR05012: [(ASPNG09509,1035350)]
NEUCR05013: [(ASPNG05670,600429)]
NEUCR05018: [(ASPNG05756,985148)]
NEUCR05067: [(ASPNG05740,814607)]
NEUCR05077: [(ASPNG03850,613414)]
NEUCR05087: [(ASPNG06057,740603)]
NEUCR05099: [(ASPNG05768,810465)]
NEUCR05099: [(ASPNG05768,810465)]
NEUCR05113: [(ASPNG04076,978115)]
NEUCR05117: [(ASPNG00362,672656)]
NEUCR05136: [(ASPNG02092,750051)]
NEUCR05137: [(ASPNG09840,807514)]
NEUCR05146: [(ASPNG02084,None)]
NEUCR05149: [(ASPNG02086,1019395)]
NEUCR05156: [(ASPNG04513,807160)]
NEUCR05159: [(ASPNG02008,786511)]
NEUCR05166: [(ASPNG02091,930643)]
NEUCR05169: [(ASPNG07120,989546)]
NEUCR05170: [(xASPNG07121,1020269)]
NEUCR05170: [(xASPNG07121,1020269)]
NEUCR05173: [(ASPNG07618,1019348)]
NEUCR05175: [(ASPNG07616,802407)]
NEUCR05178: [(ASPNG08800,1009370)]
NEUCR05305: [(ASPNG07704,1042921)]
NEUCR05307: [(ASPNG09892,973693)]
NEUCR05308: [(ASPNG01562,810713)]
NEUCR05341: [(ASPNG02168,None)]
NEUCR05344: [(xASPNG06316,723476)]
NEUCR05357: [(xASPNG00773,786449)]
NEUCR05487: [(xASPNG02407,739604)]
NEUCR05492: [(ASPNG00344,None)]
NEUCR05494: [(ASPNG01914,795899)]
NEUCR05498: [(ASPNG00592,807218)]
NEUCR05521: [(ASPNG04328,1002641)]
NEUCR05525: [(ASPNG02269,807351)]
NEUCR05548: [(ASPNG08430,799063)]
NEUCR05558: [(ASPNG07862,807633)]
NEUCR05561: [(ASPNG00178,None)]
NEUCR05583: [(ASPNG05782,None)]
NEUCR05602: [(ASPNG04732,956876)]
NEUCR05670: [(ASPNG07930,821463)]
NEUCR05672: [(ASPNG08377,809935)]
NEUCR05676: [(ASPNG02427,574530)]
NEUCR05685: [(ASPNG05822,None)]
NEUCR05689: [(ASPNG01656,798553)]
NEUCR05700: [(xASPNG02372,1038602)]
NEUCR05777: [(ASPNG00349,732089)]
NEUCR05829: [(ASPNG01709,1024184)]
NEUCR05836: [(ASPNG04808,763072)]
NEUCR05845: [(ASPNG07840,807433)]
NEUCR05853: [(ASPNG09561,771481)]
NEUCR05856: [(xASPNG04609,767742)]
NEUCR05872: [(ASPNG06948,1010067)]
NEUCR05879: [(ASPNG02497,None), (ASPNG05855,None)]
NEUCR05947: [(ASPNG04781,993225)]
NEUCR05947: [(ASPNG04781,993225)]
NEUCR05960: [(ASPNG06859,None)]
NEUCR05962: [(ASPNG00180,1019074)]
NEUCR05967: [(xASPNG00467,None)]
NEUCR05980: [(ASPNG00475,802039)]
NEUCR05996: [(xASPNG05892,939972)]
NEUCR06013: [(ASPNG07893,813818)]
NEUCR06019: [(ASPNG04969,993576)]
NEUCR06028: [(xASPNG02398,933234)]
NEUCR06047: [(ASPNG04828,697945)]
NEUCR06059: [(ASPNG09105,None)]
NEUCR06065: [(xASPNG05526,812790)]
NEUCR06065: [(xASPNG05526,812790)]
NEUCR06067: [(ASPNG04154,583806)]
NEUCR06072: [(ASPNG06792,None)]
NEUCR06082: [(ASPNG03236,588249)]
NEUCR06121: [(ASPNG04221,1042063)]
NEUCR06137: [(ASPNG04200,1038466)]
NEUCR06141: [(ASPNG00452,1017063)]
NEUCR06144: [(ASPNG01343,814578)]
NEUCR06144: [(ASPNG01343,814578)]
NEUCR06145: [(ASPNG06001,1009777)]
NEUCR06156: [(ASPNG04189,810099)]
NEUCR06188: [(ASPNG01431,1042966)]
NEUCR06199: [(ASPNG07013,583820)]
NEUCR06224: [(ASPNG09839,665740)]
NEUCR06244: [(ASPNG06201,None)]
NEUCR06286: [(ASPNG07419,807174)]
NEUCR06292: [(ASPNG05849,997413)]
NEUCR06294: [(ASPNG02073,810670)]
NEUCR06294: [(ASPNG02073,810670)]
NEUCR06332: [(xASPNG06817,809286)]
NEUCR06355: [(ASPNG07936,None)]
NEUCR06357: [(ASPNG03545,None)]
NEUCR06397: [(ASPNG06444,749583)]
NEUCR06403: [(ASPNG01904,None)]
NEUCR06451: [(ASPNG06384,983929)]
NEUCR06452: [(ASPNG02077,575445)]
NEUCR06461: [(ASPNG04516,598420)]
NEUCR06471: [(ASPNG00279,673490)]
NEUCR06472: [(ASPNG00280,1042694)]
NEUCR06473: [(xASPNG00281,997023)]
NEUCR06499: [(ASPNG08006,1036410)]
NEUCR06504: [(ASPNG09062,995681)]
NEUCR06511: [(ASPNG02154,1007473)]
NEUCR06516: [(ASPNG02182,808735)]
NEUCR06520: [(ASPNG10141,809145)]
NEUCR06522: [(ASPNG03534,984355)]
NEUCR06545: [(ASPNG04179,998909)]
NEUCR06578: [(ASPNG10080,634877)]
NEUCR06585: [(ASPNG09280,811887)]
NEUCR06596: [(xASPNG02441,1022142)]
NEUCR06598: [(xASPNG00169,1032776)]
NEUCR06598: [(xASPNG00169,1032776)]
NEUCR06611: [(ASPNG05745,982859)]
NEUCR06619: [(ASPNG05747,793974)]
NEUCR06619: [(ASPNG05747,793974)]
NEUCR06654: [(ASPNG02501,941418)]
NEUCR06672: [(ASPNG06376,792010)]
NEUCR06673: [(ASPNG06377,690390)]
NEUCR06688: [(ASPNG10282,606281)]
NEUCR06725: [(ASPNG08861,1043409)]
NEUCR06746: [(ASPNG02516,767746)]
NEUCR06779: [(ASPNG08111,807300)]
NEUCR06785: [(ASPNG08873,807727)]
NEUCR06798: [(ASPNG00781,None)]
NEUCR06803: [(ASPNG06454,1042013)]
NEUCR06805: [(ASPNG02176,1026367)]
NEUCR06812: [(xASPNG09489,None)]
NEUCR06823: [(ASPNG05287,1035418)]
NEUCR06825: [(ASPNG05275,1006617)]
NEUCR06858: [(ASPNG04006,1039931)]
NEUCR06863: [(ASPNG03908,695538)]
NEUCR06944: [(ASPNG06776,1006238)]
NEUCR06968: [(ASPNG05934,1041987)]
NEUCR06975: [(ASPNG03576,1037019)]
NEUCR06977: [(ASPNG04347,803954)]
NEUCR06987: [(ASPNG03560,1040959)]
NEUCR06999: [(ASPNG02960,813769)]
NEUCR07001: [(ASPNG08762,976622)]
NEUCR07005: [(ASPNG07685,808398)]
NEUCR07023: [(ASPNG07999,807390)]
NEUCR07034: [(ASPNG02038,807525)]
NEUCR07045: [(ASPNG04032,None)]
NEUCR07050: [(ASPNG04973,None)]
NEUCR07060: [(ASPNG06307,1033862)]
NEUCR07062: [(xASPNG08057,944899)]
NEUCR07082: [(ASPNG09445,808393)]
NEUCR07082: [(ASPNG09445,808393)]
NEUCR07087: [(ASPNG05570,None)]
NEUCR07096: [(ASPNG00981,965048)]
NEUCR07102: [(ASPNG03204,807428)]
NEUCR07104: [(ASPNG06814,690448)]
NEUCR07107: [(ASPNG06808,677930)]
NEUCR07156: [(ASPNG02846,1031735)]
NEUCR07161: [(ASPNG02867,961493)]
NEUCR07183: [(ASPNG00271,977530)]
NEUCR07198: [(ASPNG04756,999153)]
NEUCR07215: [(ASPNG08344,None)]
NEUCR07236: [(ASPNG02264,813635)]
NEUCR07238: [(ASPNG04923,None)]
NEUCR07265: [(ASPNG00767,604610)]
NEUCR07267: [(xASPNG03260,940107)]
NEUCR07287: [(ASPNG02558,990373)]
NEUCR07303: [(ASPNG09983,598421)]
NEUCR07303: [(ASPNG09983,598421)]
NEUCR07323: [(ASPNG09833,963609)]
NEUCR07324: [(ASPNG06175,1031484)]
NEUCR07349: [(ASPNG02834,1012172)]
NEUCR07349: [(ASPNG02834,1012172)]
NEUCR07350: [(ASPNG02835,1000349)]
NEUCR07352: [(ASPNG00318,None)]
NEUCR07378: [(ASPNG09233,613463)]
NEUCR07396: [(ASPNG02518,None)]
NEUCR07457: [(ASPNG09447,None)]
NEUCR07469: [(ASPNG09455,1018671)]
NEUCR07474: [(ASPNG02923,807623)]
NEUCR07476: [(ASPNG02925,1038692)]
NEUCR07480: [(ASPNG09824,583824)]
NEUCR07491: [(ASPNG09516,812999)]
NEUCR07499: [(xASPNG02283,959592)]
NEUCR07519: [(ASPNG07965,776914)]
NEUCR07522: [(xASPNG06202,791095)]
NEUCR07545: [(ASPNG00332,995272)]
NEUCR07565: [(ASPNG07963,997288)]
