CGD-AsN-027693	ASPC511230	5061.CADANGAP00007627	An09g02340
CGD-AsN-045244	ASPNG03377	5061.CADANGAP00005282	An07g01150
CGD-AsN-045279	ASPNG04697	5061.CADANGAP00008297	An11g01080
CGD-AsN-045419	PHYNI08787	5061.CADANGAP00007352	CADANGAP00007352
CGD-AsN-045740	ASPNG04759	5061.CADANGAP00008386	An11g02000
CGD-AsN-046871	ASPNG00572	5061.CADANGAP00000853	CADANGAP00000853
CGD-AsN-047138	ASPNG07121	5061.CADANGAP00013955	An18g05860
CGD-AsN-047186	ASPNG04183	5061.CADANGAP00006371	An08g01740
CGD-AsN-047445	ASPNG00270	5061.CADANGAP00000442	An01g04640
CGD-AsN-047871	ASPNG00169	5061.CADANGAP00000299	An01g03160
CGD-AsN-048144	ASPNG07395	5061.CADANGAP00009176	An11g10370
CGD-AsN-048185	ASPNG00897	5061.CADANGAP00001807	An02g03510
CGD-AsN-048469	ASPNG07430	5061.CADANGAP00009221	An11g10820
CGD-AsN-049447	ASPNG01876	5061.CADANGAP00002421	An02g09720
CGD-AsN-049570	THEAN03576	5061.CADANGAP00010639	CADANGAP00010639
CGD-AsN-050914	ASPNG06322	5061.CADANGAP00007716	An09g03210
CGD-AsN-051099	PENCH10481	5061.CADANGAP00008094	An10g00110
CGD-AsN-051384	ASPNG06316	5061.CADANGAP00007708	An09g03130
CGD-AsN-051754	ASPNG08057	5061.CADANGAP00013295	An17g01480
CGD-AsN-052971	ASPNG02661	5061.CADANGAP00004555	An04g09410
CGD-AsN-053065	ASPNG02574	5061.CADANGAP00004428	An04g08120
CGD-AsN-053172	ASPNG01723	5061.CADANGAP00002237	An02g07840
CGD-AsN-053887	ASPNG06817	5061.CADANGAP00003397	An03g04720
CGD-AsN-054379	HYPJE01896	5061.CADANGAP00013648	An18g02710
CGD-AsN-054673	ASPNG07792	5061.CADANGAP00004949	An06g00430
CGD-AsN-054955	ASPNG02439	5061.CADANGAP00004202	An04g05820
CGD-AsN-055025	ASPNG01885	5061.CADANGAP00002439	An02g09910
CGD-AsN-055037	ASPNG00959	5061.CADANGAP00001735	An02g02750
CGD-AsN-055355	ASPNG02012	5061.CADANGAP00003632	An04g00140
CGD-AsN-055897	ASPNG05265	5061.CADANGAP00011376	An14g06610
CGD-AsN-056071	ASPNG04563	5061.CADANGAP00006917	An08g07240
CGD-AsN-056576	ASPNG07181	5061.CADANGAP00014041	An18g06700
CGD-AsN-056656	ASPNG03542	5061.CADANGAP00012124	CADANGAP00012124
CGD-AsN-056755	ASPNG00185	5061.CADANGAP00000318	An01g03350
CGD-AsN-057338	BOTFB04182	5061.CADANGAP00000084	CADANGAP00000084
CGD-AsN-057872	ASPC508894	5061.CADANGAP00012232	An15g07930
CGD-AsN-058193	ASPNG02283	5061.CADANGAP00003984	An04g03620
CGD-AsN-058729	BACCI00676	5061.CADANGAP00009750	CADANGAP00009750
CGD-AsN-058854	ASPNG04191	5061.CADANGAP00006382	An08g01850
CGD-AsN-059071	ASPNG10163	5061.CADANGAP00002676	An02g12260
CGD-AsN-059174	ASPNG05916	5061.CADANGAP00012663	CADANGAP00012663
CGD-AsN-059319	ASPNG09489	5061.CADANGAP00010406	LSM5
CGD-AsN-059407	ASPNG00467	5061.CADANGAP00000714	An01g07390
CGD-AsN-059625	ASPNG06662	5061.CADANGAP00010655	An13g03370
CGD-AsN-059647	ASPC506205	5061.CADANGAP00000016	An01g00160
CGD-AsN-059743	ASPNG07188	5061.CADANGAP00014048	CADANGAP00014048
CGD-AsN-059810	ASPNG09918	5061.CADANGAP00000080	An01g00880
CGD-AsN-060617	ASPNG03260	5061.CADANGAP00005450	CADANGAP00005450
CGD-AsN-060702	ASPNG06416	5061.CADANGAP00007860	An09g04680
CGD-AsN-060761	ASPNG00434	5061.CADANGAP00000671	An01g06970
CGD-AsN-061610	ASPNG04461	5061.CADANGAP00006773	An08g05780
CGD-AsN-061721	ASPNG04268	5061.CADANGAP00006494	An08g02990
CGD-AsN-061849	ASPNG02257	5061.CADANGAP00003945	An04g03220
CGD-AsN-062047	ASPNG04852	5061.CADANGAP00008507	An11g03230
CGD-AsN-062164	ASPNG06100	5061.CADANGAP00012959	An16g07410
CGD-AsN-062454	ASPNG07929	5061.CADANGAP00007233	tpsA
CGD-AsN-062718	ASPNG04055	5061.CADANGAP00006218	CADANGAP00006218
CGD-AsN-062806	ASPNG09133	5061.CADANGAP00009419	An12g01500
CGD-AsN-063106	ASPNG08783	5061.CADANGAP00002892	An02g14390
CGD-AsN-063162	ASPNG04053	5061.CADANGAP00006214	An08g00180
CGD-AsN-063205	ASPNG09115	5061.CADANGAP00009392	An12g01210
CGD-AsN-063295	ASPNG09957	5061.CADANGAP00000036	An01g00400
CGD-AsN-063465	ASPC502919	5061.CADANGAP00003778	An04g01560
CGD-AsN-064140	ASPNG02398	5061.CADANGAP00004149	An04g05300
CGD-AsN-064180	ASPNG05017	5061.CADANGAP00008701	CADANGAP00008701
CGD-AsN-064483	ASPNG01286	5061.CADANGAP00010556	An13g02350
CGD-AsN-064519	ASPNG04515	5061.CADANGAP00006849	An08g06560
CGD-AsN-064590	ASPNG06568	5061.CADANGAP00008062	cit-1
CGD-AsN-064762	ASPNG02444	5061.CADANGAP00004209	An04g05880
CGD-AsN-064771	ASPNG08039	5061.CADANGAP00013324	An17g01770
CGD-AsN-064879	ASPNG05487	5061.CADANGAP00011057	argB
CGD-AsN-064915	ASPNG06202	5061.CADANGAP00013088	An16g08720
CGD-AsN-065284	ASPNG03556	5061.CADANGAP00012112	An15g06670
CGD-AsN-065352	ASPNG03592	5061.CADANGAP00012059	An15g06140
CGD-AsN-065409	ASPNG04462	5061.CADANGAP00006774	An08g05790
CGD-AsN-065548	ASPNG06477	5061.CADANGAP00007936	An09g05480
CGD-AsN-065620	ASPNG09884	5061.CADANGAP00004668	An05g00160
CGD-AsN-065969	ASPNG08048	5061.CADANGAP00013313	An17g01660
CGD-AsN-066384	ASPNG01386	5061.CADANGAP00001333	An01g13820
CGD-AsN-066511	ASPNG02885	5061.CADANGAP00005981	An07g08280
CGD-AsN-066737	ASPNG02917	5061.CADANGAP00005938	An07g07850
CGD-AsN-067012	ASPNG06977	5061.CADANGAP00013758	An18g03810
CGD-AsN-067073	ASPNG09123	5061.CADANGAP00009403	An12g01330
CGD-AsN-067167	ASPNG00773	5061.CADANGAP00001982	An02g05260
CGD-AsN-067500	ASPNG01400	5061.CADANGAP00001313	An01g13610
CGD-AsN-067608	ASPNG09308	5061.CADANGAP00012376	CADANGAP00012376
CGD-AsN-068215	ASPNG02465	5061.CADANGAP00004232	CADANGAP00004232
CGD-AsN-068938	ASPNG09920	5061.CADANGAP00000077	An01g00850
CGD-AsN-068956	ASPNG07030	5061.CADANGAP00013820	CADANGAP00013820
CGD-AsN-069040	ASPNG07720	5061.CADANGAP00009617	An12g03600
CGD-AsN-069120	ASPNG04960	5061.CADANGAP00008615	An11g04380
CGD-AsN-069284	ASPNG00582	5061.CADANGAP00000865	An01g08920
CGD-AsN-069430	ASPNG02756	5061.CADANGAP00006152	CADANGAP00006152
CGD-AsN-069438	ASPNG02635	5061.CADANGAP00004522	An04g09062
CGD-AsN-069558	ASPNG03197	5061.CADANGAP00005537	sodC
CGD-AsN-069798	ASPNG03327	5061.CADANGAP00005360	An07g01960
CGD-AsN-069838	ASPNG00713	5061.CADANGAP00002089	An02g06320
CGD-AsN-070559	ASPNG01716	5061.CADANGAP00002230	An02g07770
CGD-AsN-071048	ASPNG04413	5061.CADANGAP00006695	An08g04990
CGD-AsN-071168	ASPNG00696	5061.CADANGAP00002113	An02g06570
CGD-AsN-071232	ASPNG00379	5061.CADANGAP00000593	An01g06180
CGD-AsN-071329	ASPNG09025	5061.CADANGAP00005178	ANI_1_8064
CGD-AsN-071378	ASPNG04282	5061.CADANGAP00006519	An08g03240
CGD-AsN-071496	ASPNG03890	5061.CADANGAP00011633	An15g01770
CGD-AsN-071828	ASPNG02372	5061.CADANGAP00004106	An04g04870
CGD-AsN-071855	ASPNG03471	5061.CADANGAP00012220	An15g07810
CGD-AsN-071912	ASPNG05081	5061.CADANGAP00008777	An11g06110
CGD-AsN-071928	BIGNC03757	5061.CADANGAP00005864	CADANGAP00005864
CGD-AsN-072333	ASPNG02484	5061.CADANGAP00004257	An04g06380
