CGD-TuM-027800	TUBMM02014	656061.D5G9K3	D5G9K3
CGD-TuM-045736	TUBMM04560	656061.D5GGL4	D5GGL4
CGD-TuM-045802	TUBMM01206	656061.D5G795	D5G795
CGD-TuM-046159	TUBMM00696	656061.D5G5T5	D5G5T5
CGD-TuM-046645	TUBMM06971	656061.D5GNQ8	D5GNQ8
CGD-TuM-047084	TUBMM06198	656061.D5GLI9	D5GLI9
CGD-TuM-047402	TUBMM05952	656061.D5GKU3	D5GKU3
CGD-TuM-047460	TUBMM05279	656061.D5GIX0	D5GIX0
CGD-TuM-047559	TUBMM05094	656061.D5GID5	D5GID5
CGD-TuM-047641	TUBMM04681	656061.D5GHB3	D5GHB3
CGD-TuM-047800	TUBMM05017	656061.D5GI58	D5GI58
CGD-TuM-048174	TUBMM02527	656061.D5GB16	D5GB16
CGD-TuM-048490	TUBMM01877	656061.D5G966	D5G966
CGD-TuM-048968	TUBMM05388	656061.D5GJ79	D5GJ79
CGD-TuM-049020	TUBMM06027	656061.D5GL18	D5GL18
CGD-TuM-049167	TUBMM07290	656061.D5GPN1	D5GPN1
CGD-TuM-049485	TUBMM02233	656061.D5GA61	D5GA61
CGD-TuM-049503	TUBMM03003	656061.D5GCE3	D5GCE3
CGD-TuM-049636	TUBMM04274	656061.D5GG15	D5GG15
CGD-TuM-050677	TUBMM05575	656061.D5GJR6	D5GJR6
CGD-TuM-050759	TUBMM02090	656061.D5G9S9	D5G9S9
CGD-TuM-050898	TUBMM03537	656061.D5GDX7	D5GDX7
CGD-TuM-050900	TUBMM03113	656061.D5GCQ3	D5GCQ3
CGD-TuM-051231	TUBMM01985	656061.D5G9H4	D5G9H4
CGD-TuM-051576	TUBMM00248	656061.D5G4I6	D5G4I6
CGD-TuM-051933	TUBMM02606	656061.D5GB95	D5GB95
CGD-TuM-053250	TUBMM06030	656061.D5GL21	D5GL21
CGD-TuM-053318	TUBMM05881	656061.D5GKM2	D5GKM2
CGD-TuM-053381	TUBMM00427	656061.D5G516	D5G516
CGD-TuM-053524	TUBMM03379	656061.D5GDG9	D5GDG9
CGD-TuM-053651	TUBMM04973	656061.D5GI14	D5GI14
CGD-TuM-053720	TUBMM01860	656061.D5G949	cprA
CGD-TuM-053978	TUBMM04786	656061.D5GHH7	D5GHH7
CGD-TuM-053989	TUBMM00525	656061.D5G5B4	D5G5B4
CGD-TuM-054085	TUBMM03477	656061.D5GDR7	D5GDR7
CGD-TuM-055768	TUBMM06397	656061.D5GM38	LSM5
CGD-TuM-056063	TUBMM01087	656061.D5G6X6	D5G6X6
CGD-TuM-056318	TUBMM01479	656061.D5G818	D5G818
CGD-TuM-056433	TUBMM00243	656061.D5G4I1	D5G4I1
CGD-TuM-056460	TUBMM00595	656061.D5G5I4	D5G5I4
CGD-TuM-056603	TUBMM03140	656061.D5GCT0	D5GCT0
CGD-TuM-056812	TUBMM03241	656061.D5GD31	D5GD31
CGD-TuM-056918	TUBMM04226	656061.D5GFW7	D5GFW7
CGD-TuM-056997	TUBMM02590	656061.D5GB79	D5GB79
CGD-TuM-057688	TUBMM00830	656061.D5G669	D5G669
CGD-TuM-057702	TUBMM04169	656061.D5GFR0	D5GFR0
CGD-TuM-057721	TUBMM02573	656061.D5GB62	D5GB62
CGD-TuM-058239	TUBMM00581	656061.D5G5H0	D5G5H0
CGD-TuM-059229	TUBMM00870	656061.D5G6A9	D5G6A9
CGD-TuM-059256	TUBMM05254	656061.D5GIU5	D5GIU5
CGD-TuM-059478	TUBMM02925	656061.D5GC65	D5GC65
CGD-TuM-059484	TUBMM05780	656061.D5GKC1	D5GKC1
CGD-TuM-059924	TUBMM03143	656061.D5GCT3	D5GCT3
CGD-TuM-060086	TUBMM06369	656061.D5GLY6	D5GLY6
CGD-TuM-060337	TUBMM02419	656061.D5GAQ8	D5GAQ8
CGD-TuM-060553	TUBMM02898	656061.D5GC38	D5GC38
CGD-TuM-061192	TUBMM01099	656061.D5G6Y8	D5G6Y8
CGD-TuM-062220	TUBMM00026	656061.D5G3W4	D5G3W4
CGD-TuM-062426	TUBMM03796	656061.D5GEN6	D5GEN6
CGD-TuM-062671	TUBMM00200	656061.D5G4D8	D5G4D8
CGD-TuM-062782	TUBMM01584	656061.D5G8C3	D5G8C3
CGD-TuM-063600	TUBMM03954	656061.D5GF45	D5GF45
CGD-TuM-063666	TUBMM06911	656061.D5GNK2	D5GNK2
CGD-TuM-064021	TUBMM02150	656061.D5G9Y9	D5G9Y9
CGD-TuM-065277	TUBMM03227	656061.D5GD17	D5GD17
CGD-TuM-065873	TUBMM04852	656061.D5GHS5	D5GHS5
CGD-TuM-066976	TUBMM03845	656061.D5GET6	D5GET6
CGD-TuM-067280	TUBMM05473	656061.D5GJG4	D5GJG4
CGD-TuM-067320	TUBMM05511	656061.D5GJK2	D5GJK2
CGD-TuM-068316	TUBMM02269	656061.D5GA97	D5GA97
CGD-TuM-069326	TUBMM00031	656061.D5G3W9	D5G3W9
CGD-TuM-069456	TUBMM02964	656061.D5GCA4	D5GCA4
CGD-TuM-069530	TUBMM06669	656061.D5GMW0	D5GMW0
CGD-TuM-070194	TUBMM07384	656061.D5GPW6	D5GPW6
CGD-TuM-070271	TUBMM07409	656061.D5GQ00	D5GQ00
CGD-TuM-070304	TUBMM01600	656061.D5G8D9	D5G8D9
CGD-TuM-070597	TUBMM03944	656061.D5GF35	D5GF35
CGD-TuM-070631	TUBMM04992	656061.D5GI33	D5GI33
CGD-TuM-070736	TUBMM02842	656061.D5GBL9	D5GBL9
CGD-TuM-071047	TUBMM01240	656061.D5G7C9	D5G7C9
CGD-TuM-071663	TUBMM01557	656061.D5G896	D5G896
CGD-TuM-071694	TUBMM01258	656061.D5G7E7	D5G7E7
CGD-TuM-071818	TUBMM01188	656061.D5G777	D5G777
CGD-TuM-072018	TUBMM03406	656061.D5GDJ6	D5GDJ6
CGD-TuM-072030	TUBMM01937	656061.D5G9C6	D5G9C6
CGD-TuM-072125	TUBMM01029	656061.D5G6R8	D5G6R8
CGD-TuM-072374	TUBMM00295	656061.D5G4N4	D5G4N4
CGD-TuM-072442	TUBMM03265	656061.D5GD55	D5GD55
CGD-TuM-072605	TUBMM06997	656061.D5GNT8	D5GNT8
